0.0166762,0.0323595,0.0470342,0.0606854,0.073299,0.0848618,0.0953616,0.104787,0.113129,0.120377,0.126523,0.131561,0.135486,0.138292,0.139977,0.140539,0.139977,0.138292,0.135486,0.131561,0.126523,0.120377,0.113129,0.104787,0.0953616,0.0848618,0.073299,0.0606854,0.0470342,0.0323595,0.0166762
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,
N,0,0.0625,0.125,0.1875,0.25,0.3125,0.375,0.4375,0.5,0.5625,0.625,0.6875,0.75,0.8125,0.875,0.9375,1,,,,,,,,,,,,,
4,0,,,,0.104796,,,,0.140551,,,,0.104796,,,,0,,,,,,,,,,,,,
8,0,,0.0606857,,0.104788,,0.131562,,0.14054,,0.131562,,0.104788,,0.0606857,,0,,,,,,,,,,,,,
16,0,0.0323595,0.0606854,0.0848618,0.104787,0.120377,0.131561,0.138292,0.140539,0.138292,0.131561,0.120377,0.104787,0.0848618,0.0606854,0.0323595,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,0,0.0625,0.125,0.1875,0.25,0.3125,0.375,0.4375,0.5,0.5625,0.625,0.6875,0.75,0.8125,0.875,0.9375,1,,,,,,,,,,,,,
4,0,,,,0.104796,,,,0.140551,,,,0.104796,,,,0,,,,,,,,,,,,,
